id_estudio,titulo,descripcion,anio,formato,estado,tipo_acceso,archivo_nombre,archivo_url,archivo_tamanio_kb,fecha_publicacion,indice_relevancia,informacion_legal,id_usuario_creador,id_usuario_editor,fecha_creacion,fecha_actualizacion,eliminado_en
1,"Mapa de valorización de residuos plásticos en Lima Metropolitana","Estudio orientado a identificar flujos, actores y oportunidades de valorización de residuos plásticos.",2024,PDF,VIGENTE,DESCARGA,1779122782159_mapa_valorizacion_plasticos_2024.pdf,estudios/1779122782159_mapa_valorizacion_plasticos_2024.pdf,4,2024-10-05,92,"Documento de uso informativo para análisis sectorial.",2,3,"2026-03-29 10:00:00","2026-05-18 11:46:22",NULL
2,"Diagnóstico de trazabilidad para cadenas de reciclaje","Análisis de brechas de trazabilidad documental y operativa en gestores y recicladores.",2025,PPTX,VIGENTE,LECTURA,1779122765118_diagnostico_trazabilidad_2025.pptx,estudios/1779122765118_diagnostico_trazabilidad_2025.pptx,89,2025-02-20,88,"Versión de consulta para socios y visualizadores.",3,3,"2026-03-30 09:30:00","2026-05-18 11:46:05",NULL
3,"Estudio de mercado para subproductos orgánicos","Revisión de oportunidades de mercado para compost, biofertilizantes y enmiendas.",2023,PDF,BORRADOR,LECTURA,1779122740336_mercado_subproductos_organicos_2023.pdf,estudios/1779122740336_mercado_subproductos_organicos_2023.pdf,4,NULL,75,"Borrador interno en revisión legal.",2,NULL,"2026-04-01 10:15:00","2026-05-18 11:45:40",NULL
4,"Brechas regulatorias para economía circular en envases","Estudio comparado entre normativa local e instrumentos internacionales aplicables a envases.",2025,PDF,VIGENTE,DESCARGA,1779122723992_brechas_regulatorias_envases_2025.pdf,estudios/1779122723992_brechas_regulatorias_envases_2025.pdf,4,2025-03-18,95,"Análisis con fines de incidencia y apoyo regulatorio.",2,2,"2026-04-02 08:40:00","2026-05-18 11:45:24",NULL
5,"Hoja técnica de indicadores de circularidad empresarial","Documento metodológico para medir desempeño circular en empresas asociadas.",2022,PPTX,DEROGADO,LECTURA,1779122699923_indicadores_circularidad_2022.pptx,estudios/1779122699923_indicadores_circularidad_2022.pptx,89,2022-11-22,60,"Sustituido por una versión más reciente.",3,2,"2026-04-03 15:10:00","2026-05-18 11:45:00",NULL
6,"Potencial de valorización de vidrio posconsumo","Análisis técnico y económico para incrementar el reaprovechamiento de vidrio posconsumo.",2024,PDF,VIGENTE,DESCARGA,1779122686848_valorizacion_vidrio_2024.pdf,estudios/1779122686848_valorizacion_vidrio_2024.pdf,4,2024-09-10,84,"Uso para proyectos y diagnósticos sectoriales.",2,3,"2026-04-05 10:00:00","2026-05-18 11:44:47",NULL
7,"Diagnóstico de capacidades para logística inversa","Documento de análisis sobre operadores, cobertura y costos logísticos en esquemas de recuperación.",2025,PDF,VIGENTE,LECTURA,1779122659735_logistica_inversa_2025.pdf,estudios/1779122659735_logistica_inversa_2025.pdf,4,2025-01-15,81,"Documento de consulta general.",3,2,"2026-04-06 09:00:00","2026-05-18 11:44:20",NULL
8,"Tendencias de innovación en reciclaje químico","Revisión internacional de tecnologías emergentes aplicadas al reciclaje químico.",2026,PPTX,BORRADOR,LECTURA,1779122632554_innovacion_reciclaje_quimico_2026.pptx,estudios/1779122632554_innovacion_reciclaje_quimico_2026.pptx,90,NULL,77,"Borrador para validación técnica.",2,NULL,"2026-04-07 11:00:00","2026-05-18 11:43:53",NULL
9,"Benchmark regional de indicadores circulares","Comparativa de métricas regionales para seguimiento de estrategias de circularidad.",2024,PDF,VIGENTE,DESCARGA,1779122606148_benchmark_indicadores_2024.pdf,estudios/1779122606148_benchmark_indicadores_2024.pdf,5,2024-12-02,90,"Documento de apoyo para política pública.",3,3,"2026-04-08 10:00:00","2026-05-18 11:43:26",NULL
10,"Guía rápida de trazabilidad documental","Documento práctico para estandarizar evidencias y trazabilidad dentro del repositorio.",2026,PDF,DEROGADO,LECTURA,1779122583782_guia_trazabilidad_documental_2026.pdf,estudios/1779122583782_guia_trazabilidad_documental_2026.pdf,4,2026-04-01,70,"Consulta general para usuarios internos.",2,2,"2026-04-08 11:00:00","2026-05-18 11:58:34",NULL
11,"Informe piloto de trazabilidad de residuos plásticos","Documento técnico para validar un modelo inicial de seguimiento, registro y control de residuos plásticos recuperados en cadenas de reciclaje urbano.",2026,PDF,VIGENTE,DESCARGA,1779123483998_informe_piloto_trazabilidad_residuos_plasticos.pdf,estudios/1779123483998_informe_piloto_trazabilidad_residuos_plasticos.pdf,3,2026-05-18,1,NULL,3,NULL,"2026-05-18 11:58:04","2026-05-18 11:58:04",NULL
12,"Impacto de la digitalización en cadenas de reciclaje urbano","Analiza cómo la digitalización de registros, rutas, evidencias y reportes puede mejorar el desempeño de cadenas de reciclaje urbano",2026,PDF,DEROGADO,DESCARGA,1779125526339_estudio_impacto_digitalizacion_reciclaje_2026.pdf,estudios/1779125526339_estudio_impacto_digitalizacion_reciclaje_2026.pdf,2,2026-05-18,1,NULL,3,NULL,"2026-05-18 12:32:07","2026-05-18 12:32:31",NULL
13,"Impacto de la digitalización en cadenas de reciclaje urbano","Analiza cómo la digitalización de registros, rutas, evidencias y reportes puede mejorar el desempeño de cadenas de reciclaje urbano.
",2026,PDF,DEROGADO,DESCARGA,1779128391485_estudio_viabilidad_puntos_acopio_inteligentes_2026.pdf,estudios/1779128391485_estudio_viabilidad_puntos_acopio_inteligentes_2026.pdf,2,2026-05-18,1,NULL,3,NULL,"2026-05-18 13:19:53","2026-05-18 13:20:13",NULL
